,items,support,ordered_statistics
28,"frozenset({'eggs', 'ground beef'})",0.019997333688841486,"[OrderedStatistic(items_base=frozenset({'ground beef'}), items_add=frozenset({'eggs'}), confidence=0.20352781546811397, lift=1.132538682363741)]"
29,"frozenset({'low fat yogurt', 'eggs'})",0.01679776029862685,"[OrderedStatistic(items_base=frozenset({'low fat yogurt'}), items_add=frozenset({'eggs'}), confidence=0.21951219512195125, lift=1.2214844032713326)]"
30,"frozenset({'milk', 'eggs'})",0.03079589388081589,"[OrderedStatistic(items_base=frozenset({'milk'}), items_add=frozenset({'eggs'}), confidence=0.23765432098765432, lift=1.322436989412756)]"
31,"frozenset({'eggs', 'mineral water'})",0.05092654312758299,"[OrderedStatistic(items_base=frozenset({'eggs'}), items_add=frozenset({'mineral water'}), confidence=0.28338278931750743, lift=1.188844688294532), OrderedStatistic(items_base=frozenset({'mineral water'}), items_add=frozenset({'eggs'}), confidence=0.21364653243847875, lift=1.188844688294532)]"
32,"frozenset({'eggs', 'pancakes'})",0.021730435941874418,"[OrderedStatistic(items_base=frozenset({'pancakes'}), items_add=frozenset({'eggs'}), confidence=0.2286115007012623, lift=1.2721178536796502)]"
33,"frozenset({'eggs', 'spaghetti'})",0.036528462871617116,"[OrderedStatistic(items_base=frozenset({'eggs'}), items_add=frozenset({'spaghetti'}), confidence=0.2032640949554896, lift=1.1674456173515526), OrderedStatistic(items_base=frozenset({'spaghetti'}), items_add=frozenset({'eggs'}), confidence=0.20980091883614088, lift=1.1674456173515524)]"
34,"frozenset({'eggs', 'turkey'})",0.01946407145713905,"[OrderedStatistic(items_base=frozenset({'turkey'}), items_add=frozenset({'eggs'}), confidence=0.31130063965884863, lift=1.7322448798820649)]"
35,"frozenset({'french fries', 'escalope'})",0.01639781362485002,"[OrderedStatistic(items_base=frozenset({'escalope'}), items_add=frozenset({'french fries'}), confidence=0.20672268907563024, lift=1.2095373562841674)]"
36,"frozenset({'french fries', 'green tea'})",0.028529529396080524,"[OrderedStatistic(items_base=frozenset({'green tea'}), items_add=frozenset({'french fries'}), confidence=0.21594349142280528, lift=1.263488400282732)]"
37,"frozenset({'french fries', 'pancakes'})",0.020130649246767097,"[OrderedStatistic(items_base=frozenset({'pancakes'}), items_add=frozenset({'french fries'}), confidence=0.211781206171108, lift=1.2391348108342286)]"
38,"frozenset({'frozen smoothie', 'mineral water'})",0.020263964804692707,"[OrderedStatistic(items_base=frozenset({'frozen smoothie'}), items_add=frozenset({'mineral water'}), confidence=0.32, lift=1.342460850111857)]"
39,"frozenset({'frozen smoothie', 'spaghetti'})",0.01559792027729636,"[OrderedStatistic(items_base=frozenset({'frozen smoothie'}), items_add=frozenset({'spaghetti'}), confidence=0.24631578947368424, lift=1.414712662206819)]"
40,"frozenset({'milk', 'frozen vegetables'})",0.023596853752832957,"[OrderedStatistic(items_base=frozenset({'frozen vegetables'}), items_add=frozenset({'milk'}), confidence=0.24755244755244757, lift=1.9103815937149273)]"
41,"frozenset({'frozen vegetables', 'mineral water'})",0.03572856952406346,"[OrderedStatistic(items_base=frozenset({'frozen vegetables'}), items_add=frozenset({'mineral water'}), confidence=0.37482517482517486, lift=1.57246288387228)]"
42,"frozenset({'shrimp', 'frozen vegetables'})",0.01666444474070124,"[OrderedStatistic(items_base=frozenset({'shrimp'}), items_add=frozenset({'frozen vegetables'}), confidence=0.23320895522388058, lift=2.44657394843962)]"
43,"frozenset({'frozen vegetables', 'spaghetti'})",0.027862951606452472,"[OrderedStatistic(items_base=frozenset({'frozen vegetables'}), items_add=frozenset({'spaghetti'}), confidence=0.29230769230769227, lift=1.678866768759571)]"
44,"frozenset({'frozen vegetables', 'tomatoes'})",0.0161311825089988,"[OrderedStatistic(items_base=frozenset({'tomatoes'}), items_add=frozenset({'frozen vegetables'}), confidence=0.23586744639376217, lift=2.4744639376218323)]"
45,"frozenset({'mineral water', 'grated cheese'})",0.0174643380882549,"[OrderedStatistic(items_base=frozenset({'grated cheese'}), items_add=frozenset({'mineral water'}), confidence=0.3333333333333333, lift=1.3983967188665174)]"
46,"frozenset({'spaghetti', 'grated cheese'})",0.01653112918277563,"[OrderedStatistic(items_base=frozenset({'grated cheese'}), items_add=frozenset({'spaghetti'}), confidence=0.3155216284987277, lift=1.8121958157495839)]"
47,"frozenset({'green tea', 'spaghetti'})",0.026529796027196375,"[OrderedStatistic(items_base=frozenset({'green tea'}), items_add=frozenset({'spaghetti'}), confidence=0.2008072653884965, lift=1.153334837426579)]"
48,"frozenset({'ground beef', 'herb & pepper'})",0.015997866951073192,"[OrderedStatistic(items_base=frozenset({'herb & pepper'}), items_add=frozenset({'ground beef'}), confidence=0.3234501347708895, lift=3.2919938411349285)]"
49,"frozenset({'milk', 'ground beef'})",0.021997067057725635,"[OrderedStatistic(items_base=frozenset({'ground beef'}), items_add=frozenset({'milk'}), confidence=0.22388059701492538, lift=1.7277040722314356)]"
50,"frozenset({'mineral water', 'ground beef'})",0.040927876283162246,"[OrderedStatistic(items_base=frozenset({'ground beef'}), items_add=frozenset({'mineral water'}), confidence=0.41655359565807326, lift=1.7475215442008991)]"
51,"frozenset({'spaghetti', 'ground beef'})",0.03919477403012932,"[OrderedStatistic(items_base=frozenset({'ground beef'}), items_add=frozenset({'spaghetti'}), confidence=0.3989145183175034, lift=2.291162176033379), OrderedStatistic(items_base=frozenset({'spaghetti'}), items_add=frozenset({'ground beef'}), confidence=0.22511485451761104, lift=2.2911621760333793)]"
52,"frozenset({'mineral water', 'herb & pepper'})",0.017064391414478068,"[OrderedStatistic(items_base=frozenset({'herb & pepper'}), items_add=frozenset({'mineral water'}), confidence=0.34501347708894875, lift=1.447397142977743)]"
53,"frozenset({'spaghetti', 'herb & pepper'})",0.01626449806692441,"[OrderedStatistic(items_base=frozenset({'herb & pepper'}), items_add=frozenset({'spaghetti'}), confidence=0.32884097035040427, lift=1.8886953434903389)]"
54,"frozenset({'mineral water', 'honey'})",0.015064658045593921,"[OrderedStatistic(items_base=frozenset({'honey'}), items_add=frozenset({'mineral water'}), confidence=0.31741573033707865, lift=1.3316193474599705)]"
55,"frozenset({'low fat yogurt', 'mineral water'})",0.023996800426609784,"[OrderedStatistic(items_base=frozenset({'low fat yogurt'}), items_add=frozenset({'mineral water'}), confidence=0.313588850174216, lift=1.315564857470243)]"
56,"frozenset({'milk', 'mineral water'})",0.04799360085321957,"[OrderedStatistic(items_base=frozenset({'milk'}), items_add=frozenset({'mineral water'}), confidence=0.3703703703703704, lift=1.5537741320739085), OrderedStatistic(items_base=frozenset({'mineral water'}), items_add=frozenset({'milk'}), confidence=0.20134228187919462, lift=1.5537741320739085)]"
57,"frozenset({'milk', 'olive oil'})",0.017064391414478068,"[OrderedStatistic(items_base=frozenset({'olive oil'}), items_add=frozenset({'milk'}), confidence=0.2591093117408907, lift=1.9995668182802688)]"
58,"frozenset({'milk', 'shrimp'})",0.01759765364618051,"[OrderedStatistic(items_base=frozenset({'shrimp'}), items_add=frozenset({'milk'}), confidence=0.2462686567164179, lift=1.900474479454579)]"
59,"frozenset({'milk', 'soup'})",0.015197973603519531,"[OrderedStatistic(items_base=frozenset({'soup'}), items_add=frozenset({'milk'}), confidence=0.3007915567282322, lift=2.3212319619531585)]"
60,"frozenset({'milk', 'spaghetti'})",0.03546193840821224,"[OrderedStatistic(items_base=frozenset({'milk'}), items_add=frozenset({'spaghetti'}), confidence=0.27366255144032925, lift=1.5717785592296398), OrderedStatistic(items_base=frozenset({'spaghetti'}), items_add=frozenset({'milk'}), confidence=0.20367534456355285, lift=1.57177855922964)]"
61,"frozenset({'olive oil', 'mineral water'})",0.027596320490601255,"[OrderedStatistic(items_base=frozenset({'olive oil'}), items_add=frozenset({'mineral water'}), confidence=0.4190283400809717, lift=1.7579035676439423)]"
62,"frozenset({'pancakes', 'mineral water'})",0.03372883615517931,"[OrderedStatistic(items_base=frozenset({'pancakes'}), items_add=frozenset({'mineral water'}), confidence=0.3548387096774194, lift=1.4886158620191963)]"
63,"frozenset({'salmon', 'mineral water'})",0.017064391414478068,"[OrderedStatistic(items_base=frozenset({'salmon'}), items_add=frozenset({'mineral water'}), confidence=0.4012539184952978, lift=1.6833364891684726)]"
64,"frozenset({'shrimp', 'mineral water'})",0.023596853752832957,"[OrderedStatistic(items_base=frozenset({'shrimp'}), items_add=frozenset({'mineral water'}), confidence=0.3302238805970149, lift=1.385351973354703)]"
65,"frozenset({'mineral water', 'soup'})",0.023063591521130515,"[OrderedStatistic(items_base=frozenset({'soup'}), items_add=frozenset({'mineral water'}), confidence=0.45646437994722955, lift=1.9149548735929356)]"
66,"frozenset({'mineral water', 'spaghetti'})",0.05972536995067324,"[OrderedStatistic(items_base=frozenset({'mineral water'}), items_add=frozenset({'spaghetti'}), confidence=0.2505592841163311, lift=1.4390851379453289), OrderedStatistic(items_base=frozenset({'spaghetti'}), items_add=frozenset({'mineral water'}), confidence=0.3430321592649311, lift=1.4390851379453289)]"
67,"frozenset({'mineral water', 'tomatoes'})",0.024396747100386616,"[OrderedStatistic(items_base=frozenset({'tomatoes'}), items_add=frozenset({'mineral water'}), confidence=0.3567251461988304, lift=1.4965298219448695)]"
68,"frozenset({'mineral water', 'turkey'})",0.019197440341287828,"[OrderedStatistic(items_base=frozenset({'turkey'}), items_add=frozenset({'mineral water'}), confidence=0.3070362473347548, lift=1.288075442538029)]"
69,"frozenset({'mineral water', 'whole wheat rice'})",0.020130649246767097,"[OrderedStatistic(items_base=frozenset({'whole wheat rice'}), items_add=frozenset({'mineral water'}), confidence=0.3439635535307517, lift=1.4429925140012128)]"
70,"frozenset({'olive oil', 'spaghetti'})",0.022930275963204905,"[OrderedStatistic(items_base=frozenset({'olive oil'}), items_add=frozenset({'spaghetti'}), confidence=0.3481781376518219, lift=1.999758201015556)]"
71,"frozenset({'pancakes', 'spaghetti'})",0.025196640447940274,"[OrderedStatistic(items_base=frozenset({'pancakes'}), items_add=frozenset({'spaghetti'}), confidence=0.2650771388499299, lift=1.522468314328732)]"
72,"frozenset({'shrimp', 'spaghetti'})",0.021197173710171976,"[OrderedStatistic(items_base=frozenset({'shrimp'}), items_add=frozenset({'spaghetti'}), confidence=0.2966417910447761, lift=1.7037596283513519)]"
73,"frozenset({'spaghetti', 'tomatoes'})",0.020930542594320756,"[OrderedStatistic(items_base=frozenset({'tomatoes'}), items_add=frozenset({'spaghetti'}), confidence=0.3060428849902534, lift=1.7577547322449394)]"
74,"frozenset({'turkey', 'spaghetti'})",0.01653112918277563,"[OrderedStatistic(items_base=frozenset({'turkey'}), items_add=frozenset({'spaghetti'}), confidence=0.26439232409381663, lift=1.5185350865449607)]"
75,"frozenset({'chocolate', 'spaghetti', 'mineral water'})",0.01586455139314758,"[OrderedStatistic(items_base=frozenset({'chocolate', 'mineral water'}), items_add=frozenset({'spaghetti'}), confidence=0.3012658227848101, lift=1.7303177157035687), OrderedStatistic(items_base=frozenset({'chocolate', 'spaghetti'}), items_add=frozenset({'mineral water'}), confidence=0.40476190476190477, lift=1.6980531586236285), OrderedStatistic(items_base=frozenset({'mineral water', 'spaghetti'}), items_add=frozenset({'chocolate'}), confidence=0.265625, lift=1.621198637103336)]"
76,"frozenset({'mineral water', 'spaghetti', 'ground beef'})",0.017064391414478068,"[OrderedStatistic(items_base=frozenset({'mineral water', 'ground beef'}), items_add=frozenset({'spaghetti'}), confidence=0.41693811074918563, lift=2.3946805273580716), OrderedStatistic(items_base=frozenset({'spaghetti', 'ground beef'}), items_add=frozenset({'mineral water'}), confidence=0.4353741496598639, lift=1.8264773470909614), OrderedStatistic(items_base=frozenset({'mineral water', 'spaghetti'}), items_add=frozenset({'ground beef'}), confidence=0.2857142857142857, lift=2.90792789300252)]"
77,"frozenset({'milk', 'mineral water', 'spaghetti'})",0.01573123583522197,"[OrderedStatistic(items_base=frozenset({'milk', 'mineral water'}), items_add=frozenset({'spaghetti'}), confidence=0.3277777777777778, lift=1.882588905904373), OrderedStatistic(items_base=frozenset({'milk', 'spaghetti'}), items_add=frozenset({'mineral water'}), confidence=0.44360902255639095, lift=1.8610242048073202), OrderedStatistic(items_base=frozenset({'mineral water', 'spaghetti'}), items_add=frozenset({'milk'}), confidence=0.26339285714285715, lift=2.032623273074662)]"
